318	91	100	46	976	310
718	258	69	20	167	763
292	339	9	70	335	276
15	598	36	78	397	346
796	406	1	30	813	537
54	545	45	44	923	806
995	560	55	93	454	195
553	461	31	20	597	800
905	845	53	70	542	835
539	44	73	44	44	444
758	949	11	94	837	934
698	626	47	44	323	123
50	540	51	72	113	177
701	285	11	5	5	945
714	593	3	31	560	950
469	288	91	91	662	488
768	564	75	92	70	796
115	671	81	28	417	666
867	628	78	53	574	707
812	477	15	477	873	429
776	668	91	62	940	469
630	197	42	88	536	495
907	924	55	5	704	759
175	922	39	922	922	173
24	691	37	83	334	123
583	587	100	86	586	10
43	665	74	1	242	888
68	499	70	1	825	483
471	8	14	47	871	215
980	898	68	87	222	43
849	346	12	16	91	628
452	363	7	363	161	420
541	536	66	90	207	800
215	552	64	70	960	734
82	86	64	35	408	786
862	308	83	55	250	898
843	789	21	58	715	179
6	314	58	65	101	337
972	286	51	85	745	933
543	571	6	45	688	840
257	420	38	18	608	668
451	750	60	26	437	741
777	789	20	53	418	927
678	481	44	96	276	272
189	205	97	43	956	411
363	291	363	1	876	33
789	91	35	70	887	571
178	545	89	52	688	256
726	557	19	96	139	370
90	914	59	53	438	819
870	363	59	84	820	401
467	443	25	93	54	625
833	686	75	57	128	519
639	80	38	48	361	98
835	146	64	17	179	130
215	849	66	849	677	956
151	246	4	16	444	565
583	135	30	90	893	549
303	52	67	85	633	327
235	824	56	87	742	744
983	781	90	93	90	909
826	441	68	35	112	999
609	253	13	24	582	32
360	865	97	7	942	727
773	817	99	38	917	690
376	806	87	26	833	873
727	293	20	83	570	660
242	630	54	54	35	598
731	364	44	53	156	678
785	208	6	81	837	423
82	468	8	61	104	145
497	739	96	5	739	641
115	296	26	16	861	845
941	726	11	87	771	621
894	686	93	34	684	61
997	663	19	2	794	936
34	66	57	80	327	595
555	603	84	82	247	856
484	853	34	15	938	145
997	330	37	18	371	552
748	316	54	2	43	749
831	165	36	47	795	868
433	647	35	31	69	772
15	126	13	61	843	974
545	973	82	82	82	602
110	566	53	8	341	5
292	783	16	71	184	278
892	848	21	47	931	37
409	577	65	77	382	827
484	502	48	68	610	202
469	588	79	39	989	564
573	351	87	88	987	821
248	6	61	8	168	621
895	529	21	67	714	947
260	306	58	92	658	495
893	791	28	49	553	472
496	847	33	33	33	751
301	132	34	16	215	39
723	867	14	55	95	319
221	30	72	34	586	719
577	268	2	53	401	471
795	659	23	43	23	946
658	458	24	33	72	981
192	482	97	46	58	36
212	539	96	18	22	679
874	702	97	85	467	746
810	724	36	76	925	792
578	244	88	57	491	709
59	224	75	45	30	504
676	261	89	96	89	270
142	253	46	98	779	706
378	837	58	54	240	45
275	215	13	62	565	226
478	603	44	54	833	883
801	50	60	20	614	152
306	970	20	45	20	638
492	21	66	20	683	404
262	880	33	67	45	662
437	642	82	58	712	425
503	273	29	93	647	89
263	312	2	81	762	337
261	234	17	29	607	671
521	112	40	44	558	321
