76	17	23	67	60	67	36	33	59	72
93	52	15	27	94	58	35	48	58	28
71	46	77	28	5	49	1	60	46	36
61	31	67	13	93	52	12	63	81	45
74	86	71	10	13	19	79	2	69	70
17	91	80	43	87	96	68	11	32	1
59	57	73	69	30	23	8	48	4	81
49	37	97	91	67	90	56	69	75	8
36	71	60	28	3	4	90	54	82	69
67	63	51	16	99	25	91	99	23	11
19	5	30	14	84	54	61	63	30	56
35	1	49	24	32	21	85	64	62	5
52	53	84	94	37	37	74	56	2	24
67	7	76	80	67	13	8	58	50	17
92	62	88	18	19	11	97	94	38	84
10	19	84	5	83	22	94	3	81	45
56	33	54	84	21	1	95	39	70	48
38	20	87	31	41	50	56	38	57	9
68	34	21	74	17	23	100	75	46	67
13	68	21	74	34	89	95	12	44	50
71	46	92	91	43	19	58	75	39	23
68	33	40	15	69	42	96	4	33	58
60	73	4	82	56	56	57	39	59	24
9	45	43	10	85	100	14	47	62	39
52	26	72	94	90	78	43	66	100	68
58	85	58	72	49	100	57	47	16	78
29	34	73	59	45	81	43	22	100	97
10	56	57	25	47	44	17	87	33	85
100	38	9	10	72	2	45	77	88	44
64	66	92	9	30	54	91	75	74	43
11	33	30	1	19	25	1	35	36	60
30	22	38	64	15	86	51	74	54	39
6	91	15	95	48	89	8	41	8	3
1	88	29	96	79	7	35	70	7	39
44	55	42	60	89	76	89	59	89	43
7	20	5	25	12	77	55	36	52	65
18	19	93	12	9	82	86	64	97	70
65	1	8	53	92	50	4	86	100	20
55	89	65	97	96	9	16	46	81	78
70	1	76	63	32	78	73	57	9	99
70	10	84	62	49	70	46	79	40	20
72	61	97	79	11	80	75	97	67	76
38	88	65	15	6	20	86	29	17	45
76	78	80	6	57	67	66	50	7	75
21	21	69	7	47	20	54	84	3	57
60	45	47	76	15	72	26	28	79	13
13	76	49	67	66	11	18	25	79	53
90	44	3	26	89	52	29	86	79	48
54	34	60	61	32	77	85	55	75	27
69	93	1	73	84	85	31	50	49	78
59	53	58	31	79	17	11	45	27	22
62	62	51	2	10	48	66	32	94	66
17	62	100	5	52	12	28	94	9	66
18	79	91	90	17	69	34	45	53	39
34	82	67	39	82	8	61	64	13	81
53	18	87	23	68	64	28	92	62	55
43	4	47	76	61	29	99	28	31	30
62	86	57	37	46	18	72	71	36	84
84	36	76	70	35	79	64	25	34	22
89	40	9	59	16	66	44	70	69	82
3	3	64	64	96	58	78	31	89	52
6	27	17	6	48	5	93	18	10	62
31	65	66	89	66	83	97	13	44	28
2	7	54	18	16	28	92	95	83	67
64	23	99	51	51	67	21	85	96	82
5	46	12	74	87	7	69	55	21	83
32	16	43	72	100	69	58	54	71	84
6	99	85	31	62	10	6	25	33	57
70	7	64	9	13	10	70	12	11	73
87	80	100	79	7	10	27	48	57	30
67	87	9	35	53	34	89	1	52	2
8	4	90	44	4	88	23	92	45	29
51	58	58	15	39	69	10	8	2	36
88	65	80	46	88	12	71	58	8	8
55	51	39	84	36	13	53	84	63	56
40	57	74	22	64	50	79	76	97	31
73	37	44	25	16	42	17	80	70	37
97	24	17	93	80	63	61	85	25	87
56	49	56	71	49	57	8	23	67	37
